No,case_id,状況,メモ,ケース名,概要,現行タグ,修正後タグ,変更あり?,コメント・理由,確認者,CALL4最終判断,URL
54,I0000117,進行中,,立候補年齢引き下げ訴訟,日本が直面する少子高齢社会、中高年が多くを占める政治の場に、若い世代の声はなかなか届きません。戦後変わらない立候補年齢は若者の政治参加を制限し、社会の一員として政治に関わることを難しくしています。長期的な視点を持った10代・20代の声が届く政治は、日本をもっと持続可能で、生きやすい社会にします。若い世代の声が届く社会に向けて、私たちは立候補年齢の引き下げを提案します。,"公正な手続, 政治参加・表現の自由","公正な手続, 政治参加・表現の自由",,,,,https://www.call4.jp/info.php?type=items&id=I0000117
55,I0000120,進行中,,神宮外苑を守ろう訴訟｜100年の歴史と3000本超の樹木を未来へ,100年もの間、人々により守られ親しまれてきた神宮外苑が今、破壊の危機に瀕しています。都民のみならず国民全ての貴重な歴史的遺産であり、緑豊かな憩いの場である神宮外苑を現在の状態のまま次世代へ繋いでいきたい。行政の恣意的な手続をただしたい。その思いで周辺住民らが、2023年2月に東京都に再開発認可取り消しを、7月に新宿区に樹木伐採認可取り消しを求める訴訟を提起しました。計画の正当性を司法に問います。,"公正な手続, 環境・災害","公正な手続, 環境・災害",,,,,https://www.call4.jp/info.php?type=items&id=I0000120
56,I0000123,進行中,,県知事の公務での護国神社参拝取りやめをー政教分離原則の違反を問うー,国と宗教の関わり合いに一定の限度を設ける「政教分離原則」。この訴訟で問う対象は、山口県知事による山口県護国神社の慰霊大祭への公務参拝です。戦前の軍国主義体制を支えていた護国神社に、公費を用いて参拝を行うことが、政教分離原則に反していると問うことで、個人の信仰が抑圧されたり強制されたりしない社会を実現します。,"公正な手続, 政治参加・表現の自由","公正な手続, 政治参加・表現の自由",,,,,https://www.call4.jp/info.php?type=items&id=I0000123
57,I0000124,進行中,,恵庭市「障害者虐待」隠ぺい事件　〜元市議への忖度による放置を許さない〜,北海道の恵庭市にある牧場で、3人の知的障害のある人たちが長年にわたって劣悪な環境下で、虐待と評価されるような生活を余儀なくされていたことが判明しました。しかし、それを知った恵庭市は、その事実を隠ぺいし、放置しました。その牧場は、元恵庭市議会議員（議長）が経営していた牧場であったことがその対応に影響していると思われます。本訴訟は、障害者虐待を隠ぺい・放置した恵庭市の責任を問う事件です。,"公正な手続, 医療・福祉・障がい","公正な手続, 医療・福祉・障がい",,,,,https://www.call4.jp/info.php?type=items&id=I0000124
58,I0000128,進行中,,人種差別的な職務質問をやめさせよう！訴訟｜#STOPレイシャルプロファイリング,警察が、人種・皮膚の色・民族的出自などを理由に個人を犯罪捜査の対象とするレイシャルプロファイリング。近年、外国にルーツを持つ人たちから、不審事由がないにもかかわらず繰り返し職務質問をされるという被害を訴える声が後を絶ちません。私たちは、職務質問のレイシャルプロファイリング的運用が憲法や国際条約等に違反したものであることを訴え、このような運用をなくさせたいと考えています。,外国にルーツを持つ人々,外国にルーツを持つ人々,,,,,https://www.call4.jp/info.php?type=items&id=I0000128
59,I0000129,進行中,,「共働き妻を亡くした夫にも遺族年金を」訴訟,「夫は仕事、妻は家事」という考え方を60年近く維持する法律があります。労災補償の遺族年金は、妻は年齢制限がないのに、夫は55歳以上でなければ支給されません。「男性が稼ぎ主」と決めつけて、男性と女性に差をつけることが許されるのでしょうか。ジェンダー平等のすすむ現代において、法律が憲法や国際法上の法の下の平等に違反することを訴え、差別なき社会を実現したいと考えています。,"ジェンダー・セクシュアリティ, 働き方","ジェンダー・セクシュアリティ, 働き方",,,,,https://www.call4.jp/info.php?type=items&id=I0000129
60,I0000130,進行中,,日本の「黙秘権」を問う訴訟 〜56時間にわたる侮辱的な取調べは違法〜 ,犯罪の嫌疑をかけられた原告の江口さんは、黙秘権の行使を宣言したにもかかわらず、約21日間・約56時間にわたって検察官から「ガキ」「お子ちゃま」など、さまざまな暴言、嫌味、侮辱を浴びせられました。これは「取調べ」なのでしょうか。この訴訟は、裁判を通してこのような取調べが違法であることを明らかにすることで、黙秘権が真に保障される社会にするための訴訟です。,刑事司法,刑事司法,,,,,https://www.call4.jp/info.php?type=items&id=I0000130
61,I0000131,進行中,,夫婦別姓も選べる社会へ！訴訟,現行法上、カップルが婚姻するには、一方が他方の名字に変更しなければなりません。実際は、結婚する女性の約95％が男性の名字に変更しており、名字の変更を望まない人は、アイデンティティの喪失など様々な不利益を被っています。結婚しようとすると、一方が名字を諦めるか、さもなければ結婚自体を諦めるかという過酷な二者択一を迫られるのです。私たちはこの現状に終止符を打ち、夫婦が別姓も選べる社会の実現を目指します。,ジェンダー・セクシュアリティ,ジェンダー・セクシュアリティ,,,,,https://www.call4.jp/info.php?type=items&id=I0000131
62,I0000132,進行中,,「わたしの体は母体じゃない」訴訟,生殖能力に違和感を覚えたり、子どもをもたない生き方を確信をもって選択した原告らにとって、不妊手術は自分が自分らしく生きるために不可欠な手段です。しかし母体保護法は医療目的等以外の不妊手術を原則として禁止し、施術する場合にも子を既に出産していることや配偶者の同意を必要としています。これらの規定が、生殖に関する自己決定権を侵害し、憲法違反であることを訴え、現在のルールを変えたいと考えています。,"ジェンダー・セクシュアリティ, 医療・福祉・障がい","ジェンダー・セクシュアリティ, 医療・福祉・障がい",,,,,https://www.call4.jp/info.php?type=items&id=I0000132
63,I0000134,進行中,,わたしたちはもう待てない〜同性婚仙台家事審判事件,現在の日本の戸籍実務では、同性カップルが婚姻届を提出しても受理されることはありません。しかし、その運用は本当に正しいのでしょうか？民法や戸籍法には、「異性同士でなければ婚姻届を受理しない」といった規定はありません。私たちが目指すのは、同性カップルが制度に基づいた幸せな生活を送れる社会です。その実現のために、訴訟とは違ったかたちで婚姻届の受理を求める「審判」という新たな方法で戦います。,ジェンダー・セクシュアリティ,ジェンダー・セクシュアリティ,,,,,https://www.call4.jp/info.php?type=items&id=I0000134
64,I0000135,進行中,,難民帰化訴訟〜真に社会の一員へ〜,難民認定されたアフリカ出身の原告。日本国籍をもたない「難民」のままの日本での生活は、彼の日常生活や将来のキャリアに重大な障害となってきました。そのため行った2度の帰化申請は、いずれも認められず。難民条約34条は、難民の帰化をできるだけ容易にするように求めています。しかし日本では、国の極めて広い裁量で帰化の認否が決まり、これは条約の趣旨に反しています。この訴訟は原告に帰化を認めるよう求めています。,外国にルーツを持つ人々,外国にルーツを持つ人々,,,,,https://www.call4.jp/info.php?type=items&id=I0000135
65,I0000136,進行中,,地域による報酬格差は違憲！裁判官の独立と良心を守る訴訟,原告である竹内浩史裁判官は、名古屋から津に転勤したことで「地域手当」が減らされ、報酬が大幅に減額されました。憲法80条2項が、裁判官が良心に従い独立して裁判を行うことができるように裁判官の報酬の減額を禁止しているにもかかわらず、地域間格差が大きく実質的に裁判官の減給を可能にする「地域手当」が存在することは許されるのでしょうか。「地域手当」の違憲性を問い、裁判官の良心を守るための訴訟です。,"公正な手続, 働き方","公正な手続, 働き方",,,,,https://www.call4.jp/info.php?type=items&id=I0000136
66,I0000139,進行中,,既婚を理由に法的性別取扱い変更を認めないのは違憲！「なんでうちらが離婚せなあかんの？」裁判,婚姻の平等（同性婚）が叶わないせいで困っているカップルは、現に法律上同性のカップルだけではありません。法的性別取扱い変更には、同性婚状態になるのを防ぐため、「現に婚姻をしていないこと」が求められています。法律上男女として結婚したトランスジェンダーは、「離婚する」か「実態に合わない性別取扱いのまま生きる」か、二者択一を迫られます。離婚を強制されることなく、性別取扱い変更を求めます。,ジェンダー・セクシュアリティ,ジェンダー・セクシュアリティ,,,,,https://www.call4.jp/info.php?type=items&id=I0000139
67,I0000142,進行中,※アーカイブ予定,若者の志と人生を尊重する地域枠医師制度のために　～高額違約金は違法！～,医学部卒業後に特定の地域で診療を行うことを条件とした医学部選抜（地域枠制度）が全国各地で行われています。その中でも山梨県については、約束通り特定の地域における従事ができなくなった場合に842万円余もの高額な違約金を課しています。当該違約金条項は消費者契約法に照らして無効です。また、大学を受験する若年者に、高額な違約金を誓約させることは、個々人の自己決定の観点から大きな問題があります。,"働き方, 医療・福祉・障がい","働き方, 医療・福祉・障がい",,,,,https://www.call4.jp/info.php?type=items&id=I0000142
68,I0000143,進行中,,リニアトンネル工事で街を壊さないで 〜平穏生活権を侵害する大深度法の違憲性を問う〜,2018年大深度法という法律に基づき、リニア大深度工事の認可が下りました。リニア大深度工事は、住宅地の真下にトンネルを掘ること自体に、地盤沈下等の危険があり、問題があります。この訴訟は、この工事が「大深度法」の認可の要件を満たすか、そもそも大深度法自体が憲法に反するか、この工事に大深度法を適用したことが憲法に反するか、これらの点を争い、大深度法に基づく認可の取消しを求める訴訟です。,"公正な手続, 環境・災害","公正な手続, 環境・災害",,,,,https://www.call4.jp/info.php?type=items&id=I0000143
69,I0000146,進行中,,「学術会議の独立性」を市民で守ろう ～会員任命拒否理由の情報公開訴訟～,2020年10月、内閣総理大臣は、日本学術会議が推薦した105名の学者のうち6名の任命を、理由を明らかにせず拒否しました。政府からの「独立」が法に明記されている学術会議の歴史上初めてのことでした。1162名の法律家と拒否された6名は、政府に対して任命拒否の理由を記した文書の公開を請求しましたが、政府は「不存在」を理由に不開示を決定。私たちは取消と国家賠償を求め、訴訟を提起しました。,"公正な手続, 政治参加・表現の自由, 情報公開","公正な手続, 政治参加・表現の自由, 情報公開",,,,,https://www.call4.jp/info.php?type=items&id=I0000146
70,I0000148,進行中,,おかゆ強制はおかしい！刑事施設における不要な食事制限の撤廃を求める裁判 ,大阪拘置所では、胃腸に疾患がある収容されている人に「代替食」を提供します。「代替食」は、毎食の主食が粥食で、肉類や揚げ物などの固形物が一切なく、また汁物の調味料が通常の半分で極めて薄味なものです。Aさんは大阪拘置所に入るまでは普通の食事を食べることができていました。しかし、大阪拘置所では「代替食」を強制されています。この裁判は、Aさんが、普通の食事、普通の生活を取り戻そうとする裁判です。,刑事司法,刑事司法,,,,,https://www.call4.jp/info.php?type=items&id=I0000148
71,I0000149,進行中,,オープンコート訴訟 —法廷の“秩序”を問う—,この訴訟の原告らは、自らのアイデンティティや仲間との連帯、尽力してきた活動を象徴するアイテムを身につけて裁判に参加しようとしたところ、裁判官はこれらを隠すよう命じました。その理由は法廷の“秩序”。この命令により、原告らは、裁判の傍聴や円滑な弁護活動を諦めるか、大切なアイテムの着用を諦めるか、という二者択一を迫られました。私たちは、法廷の”秩序”の意義を問い直し、より開かれた裁判の実現を目指します。,"公正な手続, 政治参加・表現の自由","公正な手続, 政治参加・表現の自由",,,,,https://www.call4.jp/info.php?type=items&id=I0000149
72,I0000150,進行中,,政府が開示を拒否する、安倍元首相の「国葬文書」開示を！訴訟,安倍元首相の国葬の是非は、国会で審議されませんでした。官邸と「法の番人」内閣法制局が協議して、閣議決定による実施にゴーサインを出しました。ところがその協議記録をTansaが情報公開請求すると、政府は不開示に。「記録していない」「捨てた」という理由です。重要な公文書が、ないはずがありません。民主主義の基本は「記録」「公開」「検証」です。公文書の隠蔽や改ざんに、裁判で歯止めをかけます。,"公正な手続, 情報公開","公正な手続, 情報公開",,,,,https://www.call4.jp/info.php?type=items&id=I0000150
73,I0000151,進行中,,「18歳未満にも選挙で応援する自由を」訴訟,選挙期間中に、特定の候補者の当選を目的として行う活動を「選挙運動」といいます。現在の公職選挙法は、未成年者によるこの選挙運動を全面禁止しています。もし未成年者が選挙運動をした場合には、刑罰が科されてしまうのです。 本訴訟は、高校生4名が原告として立ち上がり、現在のルールは自発的に選挙で応援したいと願う18歳未満のユースの“政治的表現の自由”を侵害するものだとして、その撤廃を求めるものです。,政治参加・表現の自由,政治参加・表現の自由,,,,,https://www.call4.jp/info.php?type=items&id=I0000151
74,I0000152,進行中,,保育料を経費に！訴訟,働く親は、就労時間を確保するために子どもを保育園に預けます。仕事をするために支払ったのですから、その保育料は必要経費に該当するはずです。けれど、現在の課税実務では、育児は収入を得ることと切り離された「家庭内の消費」であるとして、保育料は必要経費に当たらないとされています。共働きが一般化し、働き方の多様化が進み、国を挙げた少子化対策が叫ばれる今、保育料も必要経費として認定されることを求める訴訟です。,働き方,働き方,,,,,https://www.call4.jp/info.php?type=items&id=I0000152
75,I0000154,進行中,,「無効のはずの廃園条例、なぜ続く？」— 子どもたちの保育環境を守るための訴訟,小金井市立保育園２園を段階的に縮小・廃園とする条例は違法で無効であるとの判決が東京地裁で下され、その後確定しました。しかし市は「判決は訴えた原告のみに適用され、原告以外の市民に対しては廃園条例は有効である」として他の児童の入園を認めません。他に同級生が一人もいないなど保育環境が著しく損なわれ、新たに生まれる子を上の子と同じ保育園に通わせられないことなどから損害賠償を求め再度提訴しました。,公正な手続,公正な手続,,,,,https://www.call4.jp/info.php?type=items&id=I0000154
76,I0000155,進行中,,人質司法に終止符を！訴訟,事実を争う被告人を勾留し続ける「人質司法」。 人質司法による長期間の身体拘束は、被疑者とされた人々の心身を蝕み、社会生活を破綻させ、仕事や家庭を崩壊させます。身体の拘束は究極の人権制約であるにもかかわらず、身体の自由が、否認や黙秘をしているだけで極めて容易に奪われています。 この訴訟は勾留や保釈の根拠となる刑事訴訟法の規定が憲法に違反することを訴え、人質司法に終止符を打つ訴訟です。,刑事司法,刑事司法,,,,,https://www.call4.jp/info.php?type=items&id=I0000155
77,I0000156,進行中,,病院でよく出る薬を、薬局ですぐ買える「零売」を守る訴訟,一部の医療用医薬品は本来、処方箋なしで購入可能ですが、厚生労働省の通達により販売や広告が制限されています。零売薬局は忙しい人や軽症の人に適切な薬を提供できますが、国の規制で利用が困難です。この不合理な制限に異議を唱え、必要な人に薬が届く社会を守るため、2025年1月17日、東京地裁に国を相手取った訴訟を提起しました。これは薬剤師だけでなく、医薬品を必要とするすべての人の問題です。,医療・福祉・障がい,医療・福祉・障がい,,,,,https://www.call4.jp/info.php?type=items&id=I0000156
78,I0000157,進行中,,「取調べ拒否」Tシャツを奪うな！―黙秘権と表現の自由を守る訴訟,「私は取調べを拒否します」と書かれたTシャツがあります。このTシャツは、黙秘権を行使できるようにという思いで、弁護人がAさんに差し入れたものです。しかし、羽曳野警察署は、このTシャツを危険物として取り上げました。このような行為は、Aさんの表現行為の弾圧であり、また、Aさんの黙秘権を侵害し、弁護人の弁護活動を妨害するものです。私たちは、このTシャツを取り上げることの違憲性・違法性を明らかにします。,"公正な手続, 政治参加・表現の自由, 刑事司法","公正な手続, 政治参加・表現の自由, 刑事司法",,,,,https://www.call4.jp/info.php?type=items&id=I0000157
79,I0000159,進行中,,日本でもマリアージュしたいねん～海外で成立した同性婚の受理を求める裁判～,法令上同性カップルである私たち（日本人とフランス人）はフランスで結婚しているのに、日本では他人同士。日本でも法的に「ふうふ」になるためには「同性が結婚できないことは憲法違反」という判断だけでは足りず、２人の婚姻届が市役所に受理される必要があります。この裁判はそのための裁判です。将来安心して子どもを迎えるためにも、同じように暮らす国際クイア家族の未来のためにも。「日本でもマリアージュしたいねん！」,ジェンダー・セクシュアリティ,ジェンダー・セクシュアリティ,,,,,https://www.call4.jp/info.php?type=items&id=I0000159
80,I0000164,進行中,,引越しで選挙権が制限されない未来へ！訴訟,私は、2025年1月に東京都内で引越し、同年4月に東京都から京都府に引越しをしました。その結果、東京都・京都府いずれの住所地の選挙人名簿にも登録されず、同年7月に行われた参議院議員選挙において投票することができませんでした。そこで、選挙権が制限されたことを理由に、国家賠償請求訴訟を提起しました。引越しの事実にかかわらず、すべての国民が確実に国政選挙に参加できる未来を勝ち取りたいと考えています。,政治参加・表現の自由,政治参加・表現の自由,,,,,https://www.call4.jp/info.php?type=items&id=I0000164
81,I0000167,進行中,,気候正義訴訟－Climate Justice－,パリ協定は気温上昇を産業革命以前比で1.5℃以内に抑えることを求めており、これを超過すれば地球規模で壊滅的被害が生じると科学的に示されています。しかし日本政府が2025年に定めた排出削減目標はこれに整合しません。全国906人の原告が、国に対し、消極的な気候政策により平穏生活権（気候享受権）が侵害されたとして損害の賠償を求める訴訟です。,環境・災害,環境・災害,,,,,https://www.call4.jp/info.php?type=items&id=I0000167
82,I0000169,進行中,,平和の島であるために ― 馬毛島の自然と自治を守る裁判,鹿児島県・馬毛島で、自衛隊と米軍の共同使用を前提とした巨大基地建設が進められています。森は削られ、海は濁り、漁の営みや島の自然が失われつつあります。 しかし、市民への十分な説明も議論もないまま、市は市有地の売却と市道の廃止を決めました。 この裁判は、環境と暮らし、地方自治、そして「平和の島」を守るために、市民が声を上げた闘いです。,"公正な手続, 環境・災害","公正な手続, 環境・災害",,,,,https://www.call4.jp/info.php?type=items&id=I0000169
83,I0000170,進行中,,再開発は誰のため？いわき市の「不公正な行政契約は違法」訴訟,再開発事業で実績ゼロの新会社に支払われた934万円。この訴訟は、福島県いわき市の公共事業の中で行われた民間との業務委託契約について、手続きや内容が不公正だったのではないかと問う訴訟です。これは一地域の問題ではありません。公共事業の民間業務委託は不正に繋がりやすい危険性があります。この住民訴訟を通して、こうした危険性と市民が声をあげて行政運営の修正を求めていくことの大切さを皆さんと共有したいです。,"公正な手続, 環境・災害","公正な手続, 環境・災害",,,,,https://www.call4.jp/info.php?type=items&id=I0000170
84,I0000172,進行中,,袴田巌さん国家賠償請求訴訟 ―半世紀のえん罪、国の責任を問う,2024年9月26日、袴田巖さんは逮捕から58年という長い闘いの末、再審無罪となりました。 しかし、死刑の恐怖にさらされ、47年7か月に及んだ拘束は巖さんの心を蝕み、現在も重い拘禁反応は続いています。 今回、弁護団はえん罪、そして名誉棄損と2件の国家賠償請求訴訟を提訴しています。取り返しのつかない形で人生を奪うえん罪を二度と起こさないためにも、捜査や国家機関の在り方の見直しを求めます。,"公正な手続, 刑事司法","公正な手続, 刑事司法",,,,,https://www.call4.jp/info.php?type=items&id=I0000172
85,I0000173,進行中,,【大川原化工機事件】裁判官の責任を問う訴訟,大川原化工機事件で不当に逮捕・勾留された元顧問の相嶋静夫さんは、約11カ月間も自由を奪われ、保釈が認められないままに亡くなりました。後に捜査機関の違法性は認められましたが、静夫さんに逮捕状・勾留状を発付し、保釈を認めない判断をし続けた責任者は、裁判官たちです。 本訴訟は関与した37人の裁判官の判断の違法性を問うことで、日本の刑事司法に法の支配を取り戻し「人質司法」に終止符を打つことを目指します。,"公正な手続, 刑事司法","公正な手続, 刑事司法",,,,,https://www.call4.jp/info.php?type=items&id=I0000173
86,I0000176,進行中,,不透明な契約・区長の教育行政介入を問う住民訴訟 〜文京区の教育は誰のもの？,現在文京区は、教育行政の目玉「世界に向けた学びを紡ぐプロジェクト」として国際バカロレアの教員研修を推進しています。しかしこのプロジェクトは必要性も効果も十分に説明されていないだけではなく、区長と知人関係にある業者との随意契約など手続き上の問題点があります。不透明な行政手続きを正し、区政の透明性と教育の専門性を守るための裁判です。,公正な手続,公正な手続,,,,,https://www.call4.jp/info.php?type=items&id=I0000176
87,I0000178,進行中,,私として生きる権利を求めて。アイコさん難民不認定取消訴訟,アイコさんは、フィリピン出身のトランス女性として、越境するトランスの生存権の闘いを追求しています。1999年に、フィリピンでのLGBTQIA+存在への迫害のため、日本に逃れました。フィリピンで迫害を受ける恐れのある重大なリスクに晒されるため、日本での庇護を求めています。彼女は現在、安全に暮らせるよう、東京入国管理局を相手取り、難民不認定の取り消しを求めて、東京地方裁判所で訴訟を起こしています。,"外国にルーツを持つ人々, ジェンダー・セクシュアリティ","外国にルーツを持つ人々, ジェンダー・セクシュアリティ",,,,,https://www.call4.jp/info.php?type=items&id=I0000178
88,I0000179,進行中,,海外有権者の一票を守れ！在外選挙制度を問う訴訟,海外に暮らす有権者の主な投票方法は、在外公館投票か郵便投票です。しかし2026年2月、戦後最短の日程で行われた総選挙では、解散前から手続きしていたにも関わらず、原告らの一票は投開票日までに届きませんでした。同じ経験をした人、諦めた人もいます。どこで暮らしていても特別な負担なく投票できる制度をつくることは、民主主義の土台を守ることです。原告らとともに、一人ひとりの「一票」を守る制度を求めます。,"公正な手続, 政治参加・表現の自由","公正な手続, 政治参加・表現の自由",,,,,https://www.call4.jp/info.php?type=items&id=I0000179
